x,R,G,B,min_over_frames_G,max_over_frames_G,mean_over_frames_G
1561,344,344,344,344,348,344.467
1562,344,344,344,344,348,345.000
1563,344,344,348,344,348,344.933
1564,348,344,344,344,348,345.067
1565,344,348,344,344,348,345.067
1566,348,344,348,344,348,345.600
1567,348,348,348,344,348,345.667
1568,348,344,348,344,348,346.000
1569,348,348,344,344,348,346.133
1570,348,348,348,344,348,346.533
1571,348,348,344,344,348,346.600
1572,344,348,348,344,348,346.933
1573,348,348,344,344,348,347.267
1574,344,348,348,344,348,347.600
1575,348,348,348,344,348,347.200
1576,348,348,348,344,348,347.800
1577,348,348,348,348,348,348.000
1578,348,348,348,348,352,348.200
1579,352,348,348,348,352,348.133
1580,348,348,348,348,352,348.467
1581,348,348,348,348,352,348.800
1582,348,348,352,348,352,348.867
1583,352,348,348,348,352,349.267
1584,352,352,348,348,352,349.000
1585,348,348,352,348,352,349.733
1586,352,352,348,348,352,350.067
1587,348,352,352,348,352,350.133
1588,352,352,352,348,352,350.467
1589,348,352,352,348,352,350.467
1590,352,348,352,348,352,350.933
1591,352,352,352,348,352,350.733
1592,352,352,348,348,352,351.333
1593,348,352,352,348,352,351.533
1594,352,352,352,348,352,351.867
1595,352,352,352,348,352,351.867
1596,352,352,352,352,356,352.467
1597,352,352,352,352,356,352.200
1598,356,352,352,352,356,352.333
1599,352,356,356,352,356,352.600
1600,352,352,352,352,356,352.733
1601,356,352,352,352,356,353.267
1602,352,356,352,352,356,353.133
1603,356,352,356,352,356,353.200
1604,356,356,352,352,356,354.200
1605,356,352,356,352,356,354.467
1606,356,352,352,352,356,354.133
1607,352,352,356,352,356,354.533
1608,356,356,352,352,356,354.800
1609,356,356,356,352,356,354.800
1610,356,352,356,352,356,354.667
1611,352,356,352,352,356,355.400
1612,356,356,356,352,356,355.867
1613,356,356,356,352,356,355.933
1614,356,356,356,356,360,356.067
1615,356,356,356,356,360,356.133
1616,356,356,356,356,360,356.400
1617,356,356,356,356,360,356.467
1618,356,356,356,356,360,356.533
1619,360,356,356,356,360,357.533
1620,356,360,356,356,360,357.200
1621,360,356,360,356,360,357.200
1622,356,360,360,356,360,358.400
1623,360,356,360,356,360,358.400
1624,356,356,360,356,360,358.133
1625,360,360,356,356,360,358.867
1626,360,356,360,356,360,358.800
1627,356,360,360,356,360,358.467
1628,360,360,360,356,360,359.267
1629,360,360,360,356,360,359.600
1630,360,360,360,356,360,359.667
1631,360,360,360,356,360,359.867
1632,360,360,360,360,360,360.000
1633,360,360,360,360,364,360.133
1634,360,360,360,360,364,360.400
1635,360,360,360,360,364,360.667
1636,360,360,360,360,364,361.133
1637,360,364,364,360,364,361.267
1638,360,364,364,360,364,361.667
1639,364,364,364,360,364,361.667
1640,360,364,364,360,364,362.000
